source_file,action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,note2,center_word_original,center_pos,center_pmw,review_reason,suggested_level,level_reason,reference_meaning_ja
auto,add,254,state,state,noun,base,1,状態,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; matched_high_word_list,state,NN,500+,,high_school,matched_high_word_list,状態
auto,add,271,author,author,noun,base,1,著者,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; matched_high_word_list,author,NN,500+,,high_school,matched_high_word_list,著者
auto,add,371,rather,rather,adverb,base,1,むしろ,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=RB; center_pmw=100+; matched_high_word_list,rather,RB,100+,,high_school,matched_high_word_list,むしろ
auto,add,376,percentage,percentage,noun,base,1,割合,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,percentage,NN,100+,,high_school,matched_high_word_list,割合
auto,add,390,cause,cause,noun,base,1,原因,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,cause,NN,100+,,high_school,matched_high_word_list,原因
auto,add,418,consider,consider,verb,base,1,考慮する,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+; matched_high_word_list,consider,VV,100+,,high_school,matched_high_word_list,考慮する
auto,add,436,suggest,suggest,verb,base,1,提案する,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVP; center_pmw=100+; matched_high_word_list,suggest,VVP,100+,,high_school,matched_high_word_list,提案する
auto,add,443,likely,likely,adjective,base,1,起こりそうな,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+; matched_high_word_list,likely,JJ,100+,,high_school,matched_high_word_list,起こりそうな
auto,add,466,population,population,noun,base,1,人口,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,population,NN,100+,,high_school,matched_high_word_list,人口
auto,add,468,several,several,adjective,base,1,幾つかの,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+; matched_high_word_list,several,JJ,100+,,high_school,matched_high_word_list,幾つかの
auto,add,474,notice,notice,noun,base,1,気づく,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,notice,NN,100+,,high_school,matched_high_word_list,気づく
auto,add,475,object,object,noun,base,1,物体,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,object,NN,100+,,high_school,matched_high_word_list,物体
auto,add,509,concern,concern,noun,base,1,懸案する,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,concern,NN,100+,,high_school,matched_high_word_list,懸案する
auto,add,518,prefer,prefer,verb,base,1,より好む,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVP; center_pmw=100+; matched_high_word_list,prefer,VVP,100+,,high_school,matched_high_word_list,より好む
auto,add,521,allow,allow,verb,base,1,許可する,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+; matched_high_word_list,allow,VV,100+,,high_school,matched_high_word_list,許可する
auto,add,525,remain,remain,verb,base,1,残る,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+; matched_high_word_list,remain,VV,100+,,high_school,matched_high_word_list,残る
auto,add,533,method,method,noun,base,1,方法,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,method,NN,100+,,high_school,matched_high_word_list,方法
auto,add,557,passage,passage,noun,base,1,一節,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,passage,NN,100+,,high_school,matched_high_word_list,一節
auto,add,571,experiment,experiment,noun,base,1,実験,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,experiment,NN,100+,,high_school,matched_high_word_list,実験
auto,add,595,avoid,avoid,verb,base,1,避ける,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+; matched_high_word_list,avoid,VV,100+,,high_school,matched_high_word_list,避ける
auto,add,596,distance,distance,noun,base,1,距離,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,distance,NN,100+,,high_school,matched_high_word_list,距離
auto,add,607,describe,describe,verb,base,1,述べる,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+; matched_high_word_list,describe,VV,100+,,high_school,matched_high_word_list,述べる
auto,add,623,attitude,attitude,noun,base,1,態度,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,attitude,NN,100+,,high_school,matched_high_word_list,態度
auto,add,630,major,major,adjective,base,1,主な,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+; matched_high_word_list,major,JJ,100+,,high_school,matched_high_word_list,主な
auto,add,631,mention,mention,noun,base,1,言及する,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,mention,NN,100+,,high_school,matched_high_word_list,言及する
auto,add,633,opportunity,opportunity,noun,base,1,機会,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,opportunity,NN,100+,,high_school,matched_high_word_list,機会
auto,add,641,issue,issue,noun,base,1,問題,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,issue,NN,100+,,high_school,matched_high_word_list,問題
auto,add,642,item,item,noun,base,1,項目,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,item,NN,100+,,high_school,matched_high_word_list,項目
auto,add,644,nation,nation,noun,base,1,国家,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,nation,NN,100+,,high_school,matched_high_word_list,国家
auto,add,651,comfortable,comfortable,adjective,base,1,心地の良い,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+; matched_high_word_list,comfortable,JJ,100+,,high_school,matched_high_word_list,心地の良い
auto,add,653,education,education,noun,base,1,教育,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,education,NN,100+,,high_school,matched_high_word_list,教育
auto,add,664,particular,particular,adjective,base,1,特定の,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+; matched_high_word_list,particular,JJ,100+,,high_school,matched_high_word_list,特定の
auto,add,668,suppose,suppose,verb,base,1,だと思う,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVP; center_pmw=100+; matched_high_word_list,suppose,VVP,100+,,high_school,matched_high_word_list,だと思う
auto,add,670,therefore,therefore,adverb,base,1,それゆえ,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=RB; center_pmw=100+; matched_high_word_list,therefore,RB,100+,,high_school,matched_high_word_list,それゆえ
auto,add,681,public,public,adjective,base,1,公共の,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+; matched_high_word_list,public,JJ,100+,,high_school,matched_high_word_list,公共の
auto,add,687,traffic,traffic,noun,base,1,交通,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,traffic,NN,100+,,high_school,matched_high_word_list,交通
auto,add,698,deal,deal,noun,base,1,取引する,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,deal,NN,100+,,high_school,matched_high_word_list,取引する
auto,add,699,express,express,adjective,base,1,表現する,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+; matched_high_word_list,express,JJ,100+,,high_school,matched_high_word_list,表現する
auto,add,719,effect,effect,noun,base,1,効果,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,effect,NN,100+,,high_school,matched_high_word_list,効果
auto,add,724,indicate,indicate,verb,base,1,指し示す,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVP; center_pmw=100+; matched_high_word_list,indicate,VVP,100+,,high_school,matched_high_word_list,指し示す
auto,add,730,ability,ability,noun,base,1,能力,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_high_word_list,ability,NN,100+,,high_school,matched_high_word_list,能力
auto,add,736,complain,complain,verb,base,1,不満を言う,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVP; center_pmw=100+; matched_high_word_list,complain,VVP,100+,,high_school,matched_high_word_list,不満を言う
