source_file,action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,note2,center_word_original,center_pos,center_pmw,review_reason,suggested_level,level_reason,reference_meaning_ja
auto,add,70,out,out,adverb,base,1,外に,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=RB; center_pmw=1000+; matched_junior_word_list,out,RB,1000+,,junior_high,matched_junior_word_list,外に
auto,add,131,however,however,adverb,base,1,しかしながら、けれども,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=RB; center_pmw=1000+; matched_junior_word_list,however,RB,1000+,,junior_high,matched_junior_word_list,しかしながら、けれども
auto,add,168,any,any,adverb,base,1,どれもない,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=RB; center_pmw=500+; matched_junior_word_list,any,RB,500+,,junior_high,matched_junior_word_list,どれもない
auto,add,187,increase,increase,noun,base,1,を増やす，増大させる,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; matched_junior_word_list,increase,NN,500+,,junior_high,matched_junior_word_list,を増やす，増大させる
auto,add,247,experience,experience,noun,base,1,を経験する,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; matched_junior_word_list,experience,NN,500+,,junior_high,matched_junior_word_list,を経験する
auto,add,262,activity,activity,noun,base,1,活動,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; matched_junior_word_list,activity,NN,500+,,junior_high,matched_junior_word_list,活動
auto,add,315,result,result,noun,base,1,結果,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_junior_word_list,result,NN,100+,,junior_high,matched_junior_word_list,結果
auto,add,351,develop,develop,verb,base,1,を発達させる,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+; matched_junior_word_list,develop,VV,100+,,junior_high,matched_junior_word_list,を発達させる
auto,add,355,society,society,noun,base,1,社会,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_junior_word_list,society,NN,100+,,junior_high,matched_junior_word_list,社会
auto,add,361,amount,amount,noun,base,1,量，額,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; matched_junior_word_list,amount,NN,100+,,junior_high,matched_junior_word_list,量，額
